Date,Goal_Completions,Organic,Generic_Paid_Search,Direct,Display,Paid_Search,Social,Referral,COVID-19,Day_of_Week
1/4/20,16,213,408,164,"1,268",0,127,30,0,7
1/5/20,21,246,489,174,"1,177",0,125,37,0,1
1/6/20,36,589,617,515,"1,205",2,139,56,0,2
1/7/20,38,651,540,494,"1,103",0,155,97,0,3
1/8/20,33,654,487,449,"1,126",0,141,88,0,4
1/9/20,28,695,501,482,"1,006",0,99,120,0,5
1/10/20,31,536,938,392,858,0,93,95,0,6
1/11/20,11,243,582,134,816,0,79,21,0,7
1/12/20,15,296,617,137,788,0,58,46,0,1
1/13/20,46,960,610,595,763,4,70,259,0,2
1/14/20,47,797,640,607,800,0,60,178,0,3
1/15/20,46,705,672,626,672,2,72,120,0,4
1/16/20,28,654,651,544,728,4,74,91,0,5
1/17/20,33,457,526,443,807,2,100,99,0,6
1/18/20,13,259,434,174,785,0,47,33,0,7
1/19/20,13,220,561,199,793,4,46,30,0,1
1/20/20,31,431,505,398,644,0,62,70,0,2
1/21/20,32,730,515,609,580,0,77,90,0,3
1/22/20,26,663,554,595,600,2,63,107,0,4
1/23/20,33,531,538,591,505,0,76,69,0,5
1/24/20,24,443,440,617,547,0,56,65,0,6
1/25/20,13,237,385,185,390,0,65,16,0,7
1/26/20,3,227,382,183,216,0,40,33,0,1
1/27/20,37,654,355,542,208,0,72,55,0,2
1/28/20,30,623,485,528,285,2,90,62,0,3
1/29/20,29,595,471,649,213,2,172,49,0,4
1/30/20,24,610,396,595,201,0,109,51,0,5
1/31/20,25,452,288,526,218,2,70,28,0,6
2/1/20,6,229,178,237,158,0,16,5,0,7
2/2/20,6,229,347,167,310,0,47,25,0,1
2/3/20,32,529,572,470,459,0,77,46,0,2
2/4/20,23,524,637,471,459,2,79,40,0,3
2/5/20,28,579,630,450,473,0,84,49,0,4
2/6/20,33,549,621,515,471,0,84,39,0,5
2/7/20,19,498,559,325,438,0,99,49,0,6
2/8/20,8,225,491,127,412,0,79,14,0,7
2/9/20,13,283,434,188,419,0,134,23,0,1
2/10/20,32,593,584,507,406,0,128,60,0,2
2/11/20,49,617,621,563,427,2,134,58,0,3
2/12/20,32,584,575,695,456,0,121,55,0,4
2/13/20,40,572,517,526,517,0,107,42,0,5
2/14/20,24,443,485,387,361,0,77,28,0,6
2/15/20,13,202,417,141,524,0,91,9,0,7
2/16/20,19,243,452,162,468,0,95,16,0,1
2/17/20,42,522,545,373,477,0,123,28,0,2
2/18/20,45,603,503,477,464,0,190,40,0,3
2/19/20,38,758,408,519,361,2,244,32,0,4
2/20/20,32,656,382,484,338,2,236,37,0,5
2/21/20,19,515,371,422,347,0,234,39,0,6
2/22/20,13,227,311,181,390,0,232,11,0,7
2/23/20,15,294,362,158,477,0,252,11,0,1
2/24/20,18,580,412,515,327,0,324,46,0,2
2/25/20,25,631,334,733,229,0,280,33,0,3
2/26/20,35,616,274,649,190,0,186,40,0,4
2/27/20,27,554,201,524,118,0,246,40,0,5
2/28/20,23,412,255,429,63,0,169,46,0,6
2/29/20,7,244,151,144,69,0,127,26,0,7
3/1/20,11,260,162,128,47,0,21,28,0,1
3/2/20,32,580,427,517,102,0,128,67,0,2
3/3/20,40,568,470,512,157,0,209,44,0,3
3/4/20,36,549,515,491,160,4,169,55,0,4
3/5/20,56,529,473,431,137,2,188,28,0,5
3/6/20,57,480,466,405,179,0,146,28,0,6
3/7/20,13,215,420,146,162,0,171,12,0,7
3/8/20,20,237,417,157,183,0,158,9,0,1
3/9/20,28,519,493,466,151,0,158,32,0,2
3/10/20,34,535,434,500,164,0,127,56,0,3
3/11/20,34,487,484,338,222,0,127,69,0,4
3/12/20,21,385,464,373,158,2,114,47,0,5
3/13/20,18,299,443,246,317,2,185,23,0,6
3/14/20,7,190,339,100,269,2,135,16,0,7
3/15/20,12,227,331,113,269,0,160,9,1,1
3/16/20,19,343,368,297,252,0,146,46,1,2
3/17/20,15,318,336,199,222,21,174,49,1,3
3/18/20,10,306,273,234,106,0,199,46,1,4
3/19/20,13,336,264,204,81,0,141,30,1,5
3/20/20,14,274,241,202,77,0,130,23,1,6
3/21/20,4,181,181,99,53,0,144,5,1,7
3/22/20,4,179,190,91,40,4,155,19,1,1
3/23/20,11,362,192,192,33,0,137,39,1,2
3/24/20,9,392,229,206,40,0,144,25,1,3
3/25/20,6,369,262,209,39,0,144,32,1,4
3/26/20,9,468,332,380,72,0,141,12,1,5
3/27/20,9,324,239,192,30,0,172,12,1,6
3/28/20,1,185,171,104,23,0,77,7,1,7
3/29/20,4,179,104,172,9,0,11,7,1,1
3/30/20,54,336,142,193,16,0,190,25,1,2
3/31/20,8,283,109,227,885,0,171,16,1,3
4/1/20,4,317,127,255,157,0,81,18,1,4
4/2/20,7,296,165,213,220,0,58,26,1,5
4/3/20,9,244,141,155,262,0,30,23,1,6
4/4/20,3,148,128,77,244,4,47,5,1,7
4/5/20,5,165,130,81,280,0,40,9,1,1
4/6/20,8,315,186,283,327,0,42,18,1,2
4/7/20,8,285,197,181,327,0,67,12,1,3
4/8/20,6,285,174,259,262,0,37,16,1,4
4/9/20,5,313,197,225,292,0,90,16,1,5
4/10/20,8,255,151,172,259,0,63,7,1,6
4/11/20,5,139,111,76,276,0,39,14,1,7
4/12/20,9,135,134,113,315,0,72,11,1,1
4/13/20,8,274,202,169,331,0,56,14,1,2
4/14/20,7,285,206,176,273,0,53,23,1,3
4/15/20,9,292,193,259,318,4,58,12,1,4
4/16/20,19,299,176,"1,003",259,0,44,14,1,5
4/17/20,3,276,209,846,213,0,21,9,1,6
4/18/20,6,193,174,100,146,2,5,5,1,7
4/19/20,5,174,157,167,222,0,7,7,1,1
4/20/20,10,338,227,262,99,5,16,18,1,2
4/21/20,9,357,185,243,76,7,11,12,1,3
4/22/20,13,320,204,264,60,0,26,12,1,4
4/23/20,6,292,222,"1,397",95,0,14,18,1,5
4/24/20,9,294,248,339,121,0,25,12,1,6
4/25/20,6,151,222,106,102,0,18,12,1,7
4/26/20,5,148,199,128,150,0,39,4,1,1
4/27/20,11,368,334,280,162,2,23,16,1,2
4/28/20,7,317,322,274,86,0,28,49,1,3
4/29/20,16,389,338,227,76,0,23,53,1,4
4/30/20,8,294,244,248,120,2,16,47,1,5
5/1/20,6,296,303,150,74,2,21,28,1,6
5/2/20,2,153,165,70,91,2,18,5,1,7
5/3/20,6,132,237,74,135,0,11,25,1,1
5/4/20,11,290,327,230,162,2,32,19,1,2
5/5/20,9,325,301,292,151,0,32,26,1,3
5/6/20,8,348,294,250,155,0,12,21,1,4
5/7/20,17,362,317,246,160,2,12,33,1,5
5/8/20,9,343,253,536,204,2,14,16,1,6
5/9/20,5,195,204,90,178,0,7,12,1,7
5/10/20,1,171,181,83,148,2,14,5,1,1
5/11/20,11,382,303,589,206,0,26,21,1,2
5/12/20,10,369,341,647,137,0,9,14,1,3
5/13/20,6,383,304,227,142,0,11,32,1,4
5/14/20,15,394,230,257,125,0,12,30,1,5
5/15/20,7,308,186,452,125,0,7,16,1,6
5/16/20,3,181,121,70,113,0,11,7,1,7
5/17/20,8,202,121,128,118,0,12,11,1,1
5/18/20,7,406,253,248,107,0,16,11,1,2
5/19/20,20,434,222,209,33,0,11,16,1,3
5/20/20,13,429,171,179,19,0,16,30,1,4
5/21/20,14,406,132,165,28,0,32,18,1,5
5/22/20,11,317,100,304,35,0,25,16,1,6
5/23/20,2,162,65,81,37,2,79,12,1,7
5/24/20,2,183,55,67,21,0,49,7,1,1
5/25/20,1,227,42,120,32,2,60,9,1,2
5/26/20,16,419,72,278,46,2,76,14,1,3
5/27/20,12,406,81,213,25,0,58,21,1,4
5/28/20,17,466,63,983,25,0,56,28,1,5
5/29/20,9,398,44,317,25,2,46,26,1,6
5/30/20,3,218,40,104,30,0,47,9,1,7
5/31/20,4,195,39,95,39,2,18,23,1,1
6/1/20,13,297,169,373,60,0,14,16,1,2
6/2/20,13,427,290,721,107,0,14,35,1,3
6/3/20,8,433,276,253,118,2,18,16,1,4
6/4/20,11,482,236,343,158,0,21,25,1,5
6/5/20,6,383,266,195,150,0,12,39,1,6
6/6/20,5,243,181,97,199,0,37,23,1,7
6/7/20,5,248,215,113,222,0,55,16,1,1
6/8/20,14,496,306,234,206,0,97,53,1,2
6/9/20,14,526,325,512,174,0,60,33,1,3
6/10/20,18,524,311,315,153,0,69,42,1,4
6/11/20,14,521,324,236,155,0,47,26,1,5
6/12/20,11,412,262,281,160,0,39,19,1,6
6/13/20,7,237,216,120,174,0,74,11,1,7
6/14/20,6,301,239,132,111,0,49,9,1,1
6/15/20,14,521,392,308,201,0,39,25,1,2
6/16/20,17,500,362,315,132,0,37,28,1,3
6/17/20,17,558,283,339,135,0,42,28,1,4
6/18/20,26,544,241,276,93,0,67,25,1,5
6/19/20,17,412,213,213,91,0,56,21,1,6
6/20/20,6,278,127,160,127,0,58,7,1,7
6/21/20,5,257,142,130,86,0,37,5,1,1
6/22/20,26,438,273,283,157,12,58,30,1,2
6/23/20,26,512,227,317,65,16,62,14,1,3
6/24/20,18,440,237,234,58,11,62,18,1,4
6/25/20,9,470,213,396,60,5,51,26,1,5
6/26/20,9,369,137,179,"1,574",4,278,12,1,6
6/27/20,5,253,91,132,104,5,35,11,1,7
6/28/20,5,244,100,181,165,11,76,5,1,1
6/29/20,16,515,135,310,201,14,81,28,1,2
6/30/20,16,438,195,426,419,14,79,19,1,3
7/1/20,16,440,325,225,183,23,77,56,1,4
7/2/20,11,380,339,339,141,9,58,81,1,5
7/3/20,11,257,241,237,169,9,53,70,1,6
7/4/20,3,157,199,225,192,9,62,60,1,7
7/5/20,14,244,248,174,165,12,74,60,1,1
7/6/20,25,433,403,443,150,23,99,60,1,2
7/7/20,14,461,419,491,164,5,83,60,1,3
7/8/20,21,500,417,429,160,11,84,69,1,4
7/9/20,26,442,396,399,178,18,77,55,1,5
7/10/20,26,339,361,357,172,7,88,37,1,6
7/11/20,5,211,259,304,324,7,65,86,1,7
7/12/20,4,208,236,324,607,16,76,44,1,1
7/13/20,24,482,399,436,545,11,53,76,1,2
7/14/20,16,442,375,420,463,26,77,39,1,3
7/15/20,25,475,347,387,500,9,69,25,1,4
7/16/20,8,438,371,408,535,18,102,58,1,5
7/17/20,10,357,317,338,512,14,109,37,1,6
7/18/20,9,206,179,267,199,7,91,12,1,7
7/19/20,1,285,165,246,190,5,102,14,1,1
7/20/20,22,498,202,434,299,7,62,37,1,2
7/21/20,21,556,186,429,255,23,76,42,1,3
7/22/20,16,538,167,378,273,18,63,46,1,4
7/23/20,13,429,137,273,306,12,46,35,1,5
7/24/20,6,405,121,394,236,7,74,19,1,6
7/25/20,9,276,97,243,199,4,56,7,1,7
7/26/20,5,269,192,134,283,12,35,14,1,1
7/27/20,10,452,303,276,237,11,81,25,1,2
7/28/20,18,412,373,276,269,11,40,30,1,3
7/29/20,11,394,304,301,311,25,26,47,1,4
7/30/20,7,389,299,566,313,9,55,42,1,5
7/31/20,16,417,190,211,222,55,35,33,1,6
8/1/20,11,227,274,74,162,7,7,19,1,7
